🔫｜浙江,#genre#
CCTV14,http://114.254.83.204:2222/rtp/239.3.1.65:8132
CCTV15,http://114.254.83.204:2222/rtp/239.3.1.153:8136
CCTV16,http://114.254.83.204:2222/rtp/239.3.1.184:8001
CCTV17,http://114.254.83.204:2222/rtp/239.3.1.151:8144
CCTV2,http://114.254.83.204:2222/rtp/239.3.1.60:8084
CCTV3,http://114.254.83.204:2222/rtp/239.3.1.172:8001
CCTV4,http://114.254.83.204:2222/rtp/239.3.1.105:8092
CCTV4,http://114.254.83.204:2222/rtp/239.3.1.213:4220
CCTV4,http://114.254.83.204:2222/rtp/239.3.1.214:4220
CCTV5,http://114.254.83.204:2222/rtp/239.3.1.130:8004
CCTV5,http://114.254.83.204:2222/rtp/239.3.1.173:8001
CCTV6,http://114.254.83.204:2222/rtp/239.3.1.174:8001
CCTV7,http://114.254.83.204:2222/rtp/239.3.1.61:8104
CCTV8,http://114.254.83.204:2222/rtp/239.3.1.175:8001
CCTV9,http://114.254.83.204:2222/rtp/239.3.1.62:8112
CETV1,http://114.254.83.204:2222/rtp/239.3.1.57:8152
西班牙语,http://114.254.83.204:2222/rtp/239.3.1.217:4220
阿拉伯语,http://114.254.83.204:2222/rtp/239.3.1.219:4220
CCTV1,http://116.117.106.7:8096/tsfile/live/0001_1.m3u8
CCTV3,http://116.117.106.7:8096/tsfile/live/0003_1.m3u8
CCTV4,http://116.117.106.7:8096/tsfile/live/0004_1.m3u8
CCTV5,http://116.117.106.7:8096/tsfile/live/0005_1.m3u8
CCTV6,http://116.117.106.7:8096/tsfile/live/0006_1.m3u8
CCTV9,http://116.117.106.7:8096/tsfile/live/0009_1.m3u8
CCTV1,http://27.10.103.34:8003/udp/225.0.4.74:7980
CCTV10,http://27.10.103.34:8003/udp/225.0.4.130:7980
CCTV12,http://27.10.103.34:8003/udp/225.0.4.129:7980
CCTV13,http://27.10.103.34:8003/udp/225.0.4.219:7980
CCTV14,http://27.10.103.34:8003/udp/225.0.4.128:7980
CCTV15,http://27.10.103.34:8003/udp/225.0.4.220:7980
CCTV17,http://27.10.103.34:8003/udp/225.0.4.179:7980
CCTV2,http://27.10.103.34:8003/udp/225.0.4.132:7980
CCTV3,http://27.10.103.34:8003/udp/225.0.4.142:7980
